"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL365248";"GW810372X";"0";"402.34";"0";"3.84";"GW810372X";"COc1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)F)c4)n3)cnn2n1";"Inhibition";"'='";"9.16";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962002";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 0.1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1909374";"GW709042A";"0";"585.95";"2";"7.41";"GW709042A";"Cl.O=C(Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4ccccc4)nc3c2)cc1)Nc1cc(C(F)(F)F)ccc1F";"Inhibition";"'='";"6.45";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962003";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1794059";"GW275616X";"0";"315.35";"0";"1.74";"GW275616X";"NS(=O)(=O)c1cccc(N/C=C2\C(=O)Nc3ccccc32)c1";"Inhibition";"'='";"11.35";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962003";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL4878072";"";"0";"449.56";"0";"4.30";"Senexin C/6148/GJ-2331/2335";"CN1CCN(C(=O)c2ccc3cc(CCNc4ccnc5ccc(C#N)cc45)ccc3c2)CC1";"Activity";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4805169";"Inhibition of human SIK2 assessed as percent of control at 2000 nM by KINOMEscan assay relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4804282";"38";"Patent Bioactivity Data";"";"";"None";"Dose = 2000.0 nM"
"CHEMBL1909407";"";"0";"374.85";"0";"2.65";"SB-220025-R";"Cl.Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1";"Inhibition";"'='";"-0.69";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962002";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 0.1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL230597";"GSK-586581A";"0";"381.46";"0";"3.07";"GSK586581A";"CS(=O)(=O)Nc1ccc(-c2cc(-c3ccccc3)cc(C(N)=O)c2N)cc1";"Inhibition";"'='";"3.58";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962003";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1909401";"";"0";"465.41";"0";"4.56";"SB-285234-W";"O=C([O-])c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1.[Li+]";"Inhibition";"'='";"8.52";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962003";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1909392";"GW580496A";"0";"643.99";"2";"6.11";"GW580496A";"CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Br)c4)c3c2)o1.Cl";"Inhibition";"'='";"4.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962002";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 0.1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL266707";"";"0";"297.36";"0";"3.86";"SKF-86055";"Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1";"Inhibition";"'='";"5.89";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962003";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1789963";"GW406108X";"0";"400.22";"1";"5.02";"GW406108X";"O=C1Nc2ccc(C(=O)c3ccco3)cc2C1=Cc1cc(Cl)c(O)c(Cl)c1";"Inhibition";"'='";"6.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962003";"GSK_PKIS: SNF1LK2 (QIK) mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5699";"Serine/threonine-protein kinase SIK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
